Date;Time;Boarding for day;Departing for day;Boarding per stop;Departing per stop;Current Load;First Door Open;Last Door Close;Duration;Boarding door(1);Boarding door(2);Departing door(1);Departing door(2);Door open(1);Door open(2);Door close(1);Door close(2);Door duration(1);Door duration(2);Door status(1);Door status(2);Counter status(1);Counter status(2);
2019.09.12;14:47:05;3;3;2;1;0;14:40:02;14:46:55;06:53;2;0;1;0;14:40:02;-;14:46:55;-;06:53;-;1;0;1;1;
2019.09.12;14:50:25;4;3;1;0;1;14:47:49;14:50:15;02:26;0;1;0;0;14:47:49;14:47:49;14:50:15;14:50:15;02:26;02:26;1;1;1;1;
2019.09.12;14:56:08;5;3;1;0;2;14:54:29;14:55:58;01:29;0;1;0;0;-;14:54:29;-;14:55:58;-;01:29;0;1;1;1;
2019.09.12;14:57:57;5;5;0;2;0;14:57:39;14:57:47;00:08;0;0;0;2;-;14:57:39;-;14:57:47;-;00:08;0;1;1;1;
2019.09.12;14:59:16;6;5;1;0;1;14:58:58;14:59:06;00:08;0;1;0;0;-;14:58:58;-;14:59:06;-;00:08;0;1;1;1;
2019.09.12;15:13:44;6;6;0;1;0;15:13:26;15:13:34;00:08;0;0;0;1;-;15:13:26;-;15:13:34;-;00:08;0;1;1;1;
2019.09.12;15:34:36;8;8;2;2;0;15:24:22;15:34:26;10:04;2;0;2;0;15:24:22;-;15:34:26;-;10:04;-;1;0;1;1;
2019.09.12;15:46:11;9;8;1;0;1;15:45:54;15:46:01;00:07;0;1;0;0;-;15:45:54;-;15:46:01;-;00:07;0;1;1;1;
2019.09.12;15:57:59;11;8;2;0;3;15:57:41;15:57:49;00:08;0;2;0;0;-;15:57:41;-;15:57:49;-;00:08;0;1;1;1;
2019.09.12;16:04:04;11;11;0;3;0;16:03:41;16:03:54;00:13;0;0;0;3;16:03:41;16:03:41;16:03:54;16:03:54;00:13;00:13;1;1;1;1;
2019.09.12;16:09:46;12;11;1;0;1;16:05:31;16:09:36;04:05;1;0;0;0;16:05:31;-;16:09:36;-;04:05;-;1;0;1;1;
2019.09.12;16:20:24;18;11;6;0;7;16:17:51;16:20:21;02:30;3;3;0;0;16:17:52;16:17:51;16:20:21;16:20:14;02:29;02:23;1;1;1;1;
2019.09.12;16:23:41;18;12;0;1;6;16:23:24;16:23:31;00:07;0;0;0;1;-;16:23:24;-;16:23:31;-;00:07;0;1;1;1;
2019.09.12;16:25:01;19;12;1;0;7;16:24:42;16:24:51;00:09;1;0;0;0;16:24:42;16:24:42;16:24:51;16:24:51;00:09;00:09;1;1;1;1;
2019.09.12;16:26:00;19;14;0;2;5;16:25:41;16:25:51;00:10;0;0;1;1;16:25:41;16:25:42;16:25:50;16:25:51;00:09;00:09;1;1;1;1;
2019.09.12;16:30:24;21;14;2;0;7;16:29:55;16:30:14;00:19;2;0;0;0;16:29:55;16:29:55;16:30:14;16:30:14;00:19;00:19;1;1;1;1;
2019.09.12;16:33:09;21;15;0;1;6;16:32:51;16:33:00;00:09;0;0;1;0;16:32:53;16:32:51;16:33:00;16:32:59;00:07;00:08;1;1;1;1;
2019.09.12;16:41:02;21;16;0;1;5;16:40:45;16:40:52;00:07;0;0;0;1;-;16:40:45;-;16:40:52;-;00:07;0;1;1;1;
2019.09.12;16:45:17;21;18;0;2;3;16:44:29;16:45:07;00:38;0;0;0;2;-;16:44:29;-;16:45:07;-;00:38;0;1;1;1;
2019.09.12;16:45:55;21;19;0;1;2;16:45:36;16:45:45;00:09;0;0;1;0;16:45:36;-;16:45:45;-;00:09;-;1;0;1;1;
2019.09.12;16:50:22;21;20;0;1;1;16:50:02;16:50:12;00:10;0;0;0;1;-;16:50:02;-;16:50:12;-;00:10;0;1;1;1;
2019.09.12;17:17:33;21;20;0;0;1;17:17:17;17:17:23;00:06;0;0;0;0;17:17:17;-;17:17:23;-;00:06;-;1;0;1;1;
